-0.4125660000,-0.1869700000,0.9466380000,-0.4403458000,-0.2881225000,0.0326979600,-0.4267868000,-0.0675491900,0.0337280400
-0.4125643440,-0.1869780083,0.9466461021,-0.4404801825,-0.2882620123,0.0326770982,-0.4268203838,-0.0674653365,0.0336453070
-0.4125590000,-0.1869680000,0.9466340000,-0.4405879000,-0.2883976000,0.0326368900,-0.4268540000,-0.0673992600,0.0335784300
-0.4125509060,-0.1869467417,0.9466096479,-0.4406741675,-0.2885349877,0.0325833593,-0.4268840912,-0.0673306335,0.0335210980
-0.4125410000,-0.1869210000,0.9465810000,-0.4407442000,-0.2886799000,0.0325225300,-0.4269071000,-0.0672391300,0.0334670000
-0.4125287821,-0.1868965248,0.9465546813,-0.4408060224,-0.2888346994,0.0324608220,-0.4269230515,-0.0671137408,0.0334135972
-0.4125080000,-0.1868750000,0.9465320000,-0.4408789000,-0.2889883000,0.0324062400,-0.4269463000,-0.0669807300,0.0333734400
-0.4124753405,-0.1868559092,0.9465142519,-0.4409745680,-0.2891289772,0.0323649013,-0.4269919530,-0.0668601597,0.0333586631
-0.4124450000,-0.1868340000,0.9465080000,-0.4410634000,-0.2892559000,0.0323337900,-0.4270638000,-0.0667100100,0.0333646500
-0.4124282310,-0.1868042135,0.9465163113,-0.4411175556,-0.2893710293,0.0323079617,-0.4271561491,-0.0664947453,0.0333814718
-0.4124070000,-0.1867670000,0.9465230000,-0.4411577000,-0.2894766000,0.0322838900,-0.4272367000,-0.0662668500,0.0333947000
-0.4123626104,-0.1867247368,0.9465130031,-0.4412071972,-0.2895754054,0.0322603257,-0.4272789880,-0.0660814217,0.0333955049
-0.4123030000,-0.1866820000,0.9464950000,-0.4412517000,-0.2896722000,0.0322437100,-0.4273065000,-0.0659159900,0.0334019500
-0.4122407024,-0.1866419642,0.9464816762,-0.4412745555,-0.2897698365,0.0322403393,-0.4273476364,-0.0657353491,0.0334317900
-0.4121800000,-0.1866000000,0.9464780000,-0.4412876000,-0.2898616000,0.0322482400,-0.4274005000,-0.0655309200,0.0334746500
-0.4121217050,-0.1865537813,0.9464849170,-0.4413040933,-0.2899419862,0.0322618035,-0.4274567163,-0.0653077930,0.0335150237
-0.4120610000,-0.1865180000,0.9464950000,-0.4413145000,-0.2900199000,0.0322691500,-0.4275123000,-0.0650991100,0.0335450100
-0.4119889775,-0.1865032854,0.9465006557,-0.4413106340,-0.2900990439,0.0322632969,-0.4275644483,-0.0649351303,0.0335640813
-0.4118860000,-0.1864870000,0.9465020000,-0.4413125000,-0.2901479000,0.0322631200,-0.4276107000,-0.0648065300,0.0335936000
-0.4117467601,-0.1864469519,0.9465015853,-0.4413372334,-0.2901482509,0.0322860490,-0.4276532278,-0.0646952922,0.0336524197
-0.4116340000,-0.1863960000,0.9465040000,-0.4413623000,-0.2901703000,0.0323178700,-0.4277124000,-0.0645882100,0.0337274700
-0.4115923570,-0.1863536571,0.9465113783,-0.4413620949,-0.2902774026,0.0323409435,-0.4278026028,-0.0644681760,0.0338000662
-0.4115260000,-0.1863310000,0.9465140000,-0.4413384000,-0.2904171000,0.0323555700,-0.4278961000,-0.0642976700,0.0338609900
-0.4113634370,-0.1863297948,0.9465051516,-0.4413069620,-0.2905208012,0.0323736632,-0.4279667235,-0.0640627652,0.0339062206
-0.4112710000,-0.1863230000,0.9465020000,-0.4413120000,-0.2905712000,0.0324356500,-0.4280367000,-0.0638643200,0.0339430600
-0.4113833951,-0.1862887886,0.9465180152,-0.4413851323,-0.2905735176,0.0325646348,-0.4281264906,-0.0637943897,0.0339813816
-0.4114710000,-0.1862550000,0.9465280000,-0.4414791000,-0.2905718000,0.0326859200,-0.4282011000,-0.0637950300,0.0340300200
-0.4113084827,-0.1862480507,0.9465081626,-0.4415373340,-0.2906032533,0.0327265065,-0.4282243391,-0.0637878062,0.0340913894
-0.4110520000,-0.1862390000,0.9464790000,-0.4415449000,-0.2906389000,0.0327179900,-0.4282107000,-0.0637623200,0.0341432600
-0.4108952990,-0.1862000084,0.9464642094,-0.4415072694,-0.2906474691,0.0327096294,-0.4281874405,-0.0637264194,0.0341678096
-0.4108010000,-0.1861630000,0.9464560000,-0.4414699000,-0.2906547000,0.0327167400,-0.4281822000,-0.0636929000,0.0341894900
-0.4106873211,-0.1861627905,0.9464419997,-0.4414724510,-0.2906881828,0.0327428696,-0.4282104740,-0.0636703312,0.0342331934
-0.4105260000,-0.1861860000,0.9464230000,-0.4414914000,-0.2907259000,0.0327784400,-0.4282388000,-0.0636454300,0.0342833000
-0.4103179164,-0.1862140795,0.9464030419,-0.4414961516,-0.2907409623,0.0328107471,-0.4282353259,-0.0636074458,0.0343197306
-0.4101270000,-0.1862560000,0.9463860000,-0.4414910000,-0.2907366000,0.0328277100,-0.4282236000,-0.0635776100,0.0343450800
-0.4099938881,-0.1863171416,0.9463728328,-0.4414842928,-0.2907316430,0.0328234482,-0.4282297972,-0.0635732217,0.0343667691
-0.4098030000,-0.1863610000,0.9463530000,-0.4414657000,-0.2907772000,0.0328162600,-0.4282352000,-0.0635638700,0.0343888500
-0.4094651560,-0.1863582293,0.9463185019,-0.4414291024,-0.2908996532,0.0328244889,-0.4282205478,-0.0635207873,0.0344139991
-0.4091530000,-0.1863500000,0.9462830000,-0.4414039000,-0.2909942000,0.0328424800,-0.4282093000,-0.0634694900,0.0344427600
-0.4090336128,-0.1863781914,0.9462604098,-0.4414166226,-0.2909683190,0.0328642486,-0.4282244117,-0.0634423979,0.0344736693
-0.4089900000,-0.1864170000,0.9462440000,-0.4414468000,-0.2909098000,0.0329064900,-0.4282441000,-0.0634452600,0.0344993700
-0.4088740176,-0.1864357551,0.9462249841,-0.4414668696,-0.2909183831,0.0329804278,-0.4282438429,-0.0634704623,0.0345148062
-0.4086970000,-0.1864520000,0.9462070000,-0.4414679000,-0.2909613000,0.0330527200,-0.4282329000,-0.0634836100,0.0345300200
