0.0000000000,-0.2956283497,-0.2252500314,-0.2404586150,0.4736894905,-0.2426016066,0.0552943822,-0.2539799214,-0.2534871956,-0.1386196465,0.2466223929,-0.0604675096,-0.0386669614,-0.1385149299,0.0349063627,0.0855313592,0.0544452322,0.0368603249,-0.0242673907,0.0543376343,0.0368507457,0.1364251564,0.0196229052
0.0000000000,-0.2938505393,-0.2259706990,-0.2385641597,0.4711146986,-0.2417849797,0.0551152934,-0.2518194966,-0.2535992073,-0.1363025110,0.2432196337,-0.0591488687,-0.0391365673,-0.1394167877,0.0350702286,0.0855744122,0.0542602755,0.0368245832,-0.0239096351,0.0541527185,0.0368150641,0.1350220838,0.0197104593
0.0000000000,-0.2931292267,-0.2262299955,-0.2380025756,0.4699327982,-0.2414456929,0.0551746640,-0.2510152110,-0.2536417537,-0.1353187224,0.2418831283,-0.0587283853,-0.0394682722,-0.1397470004,0.0351405032,0.0855955810,0.0541835983,0.0368096755,-0.0237634311,0.0540760630,0.0368001826,0.1344654632,0.0197478128
0.0000000000,-0.2930587493,-0.2262105057,-0.2382245015,0.4696396966,-0.2414142511,0.0553727331,-0.2510219335,-0.2536462596,-0.1351286380,0.2417925432,-0.0588398292,-0.0397068729,-0.1397340265,0.0351517759,0.0856018623,0.0541733948,0.0368075748,-0.0237475509,0.0540658676,0.0367980867,0.1344238712,0.0197536158
0.0000000000,-0.2932334447,-0.2260948144,-0.2386805762,0.4697313008,-0.2415211588,0.0556097403,-0.2512945332,-0.2536441496,-0.1351926150,0.2421275448,-0.0591169705,-0.0398971662,-0.1396063244,0.0351386362,0.0856002527,0.0541878593,0.0368102542,-0.0237807666,0.0540803318,0.0368007616,0.1345658840,0.0197465188
0.0000000000,-0.2933339209,-0.2260251323,-0.2389513791,0.4697999949,-0.2416274174,0.0558092726,-0.2514133781,-0.2536578899,-0.1350978877,0.2422531849,-0.0592786587,-0.0400757636,-0.1395404346,0.0351288380,0.0855968122,0.0541942122,0.0368114141,-0.0237991537,0.0540866811,0.0368019179,0.1346331897,0.0197414458
0.0000000000,-0.2933858679,-0.2259821725,-0.2391372513,0.4698240696,-0.2417160142,0.0559883074,-0.2514608309,-0.2536741121,-0.1349391976,0.2422760579,-0.0593840628,-0.0402465365,-0.1395052250,0.0351227944,0.0855938534,0.0541957788,0.0368116646,-0.0238080005,0.0540882443,0.0368021661,0.1346599233,0.0197384165
0.0000000000,-0.2934730021,-0.2259195345,-0.2394178196,0.4698535344,-0.2417932066,0.0561769668,-0.2515936037,-0.2536765850,-0.1348836919,0.2424172907,-0.0595449411,-0.0404127266,-0.1394379804,0.0351158347,0.0855925215,0.0542017694,0.0368127470,-0.0238241348,0.0540942342,0.0368032461,0.1347265316,0.0197347225
0.0000000000,-0.2935660644,-0.2258438591,-0.2397700916,0.4698393651,-0.2418363458,0.0563645592,-0.2517638119,-0.2536734613,-0.1348806322,0.2426145985,-0.0597430881,-0.0406077984,-0.1393573244,0.0351102939,0.0855930374,0.0542088319,0.0368140181,-0.0238413269,0.0541012985,0.0368045156,0.1348062626,0.0197316486
0.0000000000,-0.2936321700,-0.2257720595,-0.2401215744,0.4697540690,-0.2418456301,0.0565293228,-0.2518942501,-0.2536755796,-0.1348466892,0.2427618732,-0.0599410578,-0.0408522302,-0.1392911550,0.0351074481,0.0855942022,0.0542125686,0.0368146427,-0.0238524107,0.0541050377,0.0368051395,0.1348617723,0.0197300251
