0.0000000000,-0.1916692950,0.0367259773,0.0683876138,0.2857100278,-0.1303901166,-0.0615554261,-0.1980224163,0.0565671894,-0.0558290665,0.3021592252,-0.1406054270,0.0645320434,0.0598533440,0.0019257719,-0.0723929762,0.0935484087,-0.2156802840,0.0816255410,0.1002277314,-0.2977625952
0.0000000000,-0.1906188336,0.0372243019,0.0687243059,0.2824205005,-0.1286396489,-0.0611477179,-0.1982089870,0.0568530053,-0.0549143654,0.3012450717,-0.1400034812,0.0643971595,0.0577813764,-0.0036788556,-0.0717229617,0.0877688033,-0.2086843063,0.0819589687,0.1037410443,-0.2993951762
0.0000000000,-0.1915189235,0.0378355732,0.0680622131,0.2813965854,-0.1277811364,-0.0605938649,-0.1983879207,0.0573197927,-0.0550630127,0.2989348874,-0.1385718245,0.0643904373,0.0573970898,-0.0043243150,-0.0713909303,0.0870110337,-0.2094393357,0.0812829503,0.1021944208,-0.2978493380
0.0000000000,-0.1930296924,0.0388011079,0.0673240348,0.2808488501,-0.1270933772,-0.0599822723,-0.1989736165,0.0581431152,-0.0551402683,0.2969922751,-0.1374065453,0.0642877126,0.0569312265,-0.0041647867,-0.0712925984,0.0858499359,-0.2084331534,0.0805985544,0.1002246247,-0.2955865187
0.0000000000,-0.1956944811,0.0403744665,0.0664908618,0.2812449624,-0.1266272134,-0.0593429204,-0.2002097937,0.0596392615,-0.0553552635,0.2955535671,-0.1365250622,0.0642414105,0.0559021105,-0.0032313270,-0.0714658922,0.0848018832,-0.2077084927,0.0797969072,0.0984109484,-0.2938855208
0.0000000000,-0.1980599277,0.0411514637,0.0657486936,0.2820428494,-0.1265368470,-0.0588286230,-0.2017749292,0.0603544164,-0.0553198451,0.2955104085,-0.1363875569,0.0639404622,0.0548421197,-0.0031359256,-0.0716741448,0.0839682266,-0.2062682470,0.0791986956,0.0970800127,-0.2923560887
0.0000000000,-0.2002436463,0.0415467037,0.0651652681,0.2834359918,-0.1269472237,-0.0584677360,-0.2033335908,0.0607312548,-0.0552671090,0.2958879963,-0.1364027220,0.0636394802,0.0540431429,-0.0027969425,-0.0714684054,0.0837823316,-0.2058710101,0.0788839255,0.0958517372,-0.2914232103
0.0000000000,-0.2018733015,0.0413876420,0.0647161735,0.2839143539,-0.1269725729,-0.0580918617,-0.2053282358,0.0605394929,-0.0550099198,0.2970810768,-0.1367756354,0.0633307819,0.0531986304,-0.0036997629,-0.0717458604,0.0829991500,-0.2040068239,0.0785426438,0.0951928929,-0.2904997566
0.0000000000,-0.2027549069,0.0411694902,0.0642255659,0.2850687451,-0.1275975459,-0.0577757770,-0.2061957679,0.0602739528,-0.0548010527,0.2982132742,-0.1373895951,0.0629471061,0.0530377809,-0.0042069469,-0.0713286569,0.0831644502,-0.2037209389,0.0782135968,0.0943334753,-0.2890657940
0.0000000000,-0.2038229966,0.0407232906,0.0638018358,0.2855053199,-0.1278438339,-0.0575097160,-0.2075115044,0.0597863250,-0.0547188577,0.2990047539,-0.1377395184,0.0627178492,0.0523426163,-0.0046953563,-0.0718792036,0.0840610956,-0.2040295132,0.0781352316,0.0939153817,-0.2883715021
0.0000000000,-0.2065645369,0.0413391928,0.0633794496,0.2874693938,-0.1284772301,-0.0572494010,-0.2096411526,0.0604815236,-0.0548646430,0.3003668583,-0.1383782016,0.0626888307,0.0512105608,-0.0044179188,-0.0727306276,0.0840092942,-0.2036293092,0.0778787554,0.0934210520,-0.2875536408
0.0000000000,-0.2089689097,0.0418932409,0.0629340467,0.2886711995,-0.1287287082,-0.0568233479,-0.2119093761,0.0610370092,-0.0546583877,0.3022177199,-0.1394128028,0.0624665100,0.0496548965,-0.0045220922,-0.0731121216,0.0839969024,-0.2028337881,0.0779849413,0.0939204955,-0.2877407401
0.0000000000,-0.2109383421,0.0416577106,0.0624731933,0.2909657296,-0.1298803543,-0.0565141962,-0.2133532458,0.0607961063,-0.0544474320,0.3036826718,-0.1402582675,0.0620841578,0.0487335023,-0.0047313206,-0.0735124303,0.0865896763,-0.2058493680,0.0778924563,0.0942107786,-0.2878145675
0.0000000000,-0.2088555693,0.0404153018,0.0627416664,0.2938868586,-0.1325166973,-0.0566021856,-0.2113380427,0.0595830902,-0.0541323356,0.3058087512,-0.1420375337,0.0619554666,0.0512764121,-0.0067139605,-0.0734125975,0.0873371310,-0.2069117499,0.0784248166,0.0947485669,-0.2883156515
0.0000000000,-0.2081588505,0.0394041221,0.0626351353,0.2946497024,-0.1335350852,-0.0565289715,-0.2120321043,0.0586036413,-0.0540801167,0.3084058517,-0.1434981375,0.0619427818,0.0518772766,-0.0079323312,-0.0739484136,0.0886096680,-0.2085336844,0.0787463935,0.0950613823,-0.2884102484
0.0000000000,-0.2090195366,0.0387899886,0.0621345123,0.2963949944,-0.1346813206,-0.0563785984,-0.2126195665,0.0580338865,-0.0545085611,0.3092244004,-0.1439821354,0.0620134007,0.0518198378,-0.0084121449,-0.0740339347,0.0907287595,-0.2103734359,0.0789918915,0.0957785555,-0.2897691617
0.0000000000,-0.2089163029,0.0377160047,0.0620482989,0.2977193823,-0.1359869217,-0.0563452810,-0.2134015171,0.0569929658,-0.0544417028,0.3115603979,-0.1454133800,0.0619391047,0.0518645531,-0.0090836254,-0.0745873961,0.0874911563,-0.2026568117,0.0797235161,0.0959701752,-0.2896918436
0.0000000000,-0.2102997385,0.0372497253,0.0619195336,0.2996934151,-0.1373292919,-0.0563352148,-0.2148541829,0.0565926361,-0.0544867808,0.3132899227,-0.1464411293,0.0618785346,0.0512524138,-0.0095641966,-0.0749529378,0.0883435576,-0.2023845403,0.0799992607,0.0961364877,-0.2894590167
